Image_ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30
1,C,C,C,D,D,C,B,C,A,C,B,B,B,C,B,B,B,B,A,A,C,B,B,B,B,C,B,A,A,B
2,B,B,B,A,C,C,C,C,A,B,A,B,C,B,B,B,B,B,A,C,B,B,C,B,C,B,C,B,B,B
3,A,B,A,A,B,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,B,B,B,A,A
4,B,C,C,B,C,C,B,B,A,D,B,C,C,C,A,B,B,C,C,B,B,B,B,B,C,D,C,B,A,A
5,A,B,B,B,B,C,B,B,A,C,C,C,B,B,B,B,C,B,B,C,C,B,B,D,C,B,C,C,A,B
6,A,A,A,A,A,A,B,B,B,A,A,A,A,A,C,A,A,A,A,B,A,B,B,B,B,C,A,A,A,B
7,D,C,C,C,B,C,C,B,B,C,A,B,B,B,B,A,B,B,B,C,D,B,B,A,C,C,B,C,B,B
8,B,B,B,A,C,B,C,C,B,B,A,B,C,B,B,B,B,B,A,C,B,B,D,B,C,B,C,B,B,B
9,A,B,A,A,B,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,B,B,B,A,A
10,C,C,C,D,D,C,B,C,A,C,B,B,B,C,B,B,B,B,A,A,C,B,C,B,B,C,B,A,A,B
11,A,A,A,A,A,A,A,B,B,B,A,A,B,A,C,C,A,A,B,A,B,A,B,B,B,B,A,A,A,A
12,B,B,C,C,C,C,C,C,B,D,B,A,B,A,B,B,B,C,B,B,B,B,C,A,C,B,B,C,C,B
13,A,A,A,A,A,A,A,B,B,B,A,A,B,A,C,C,A,A,B,A,B,A,B,B,B,B,A,A,A,A
14,B,B,B,A,C,C,C,C,B,B,A,B,C,B,B,B,B,B,A,C,B,B,C,B,C,B,C,B,B,B
15,D,C,C,C,B,C,C,B,B,C,A,B,B,B,C,A,B,D,A,B,C,B,B,A,B,C,B,B,B,B
16,A,B,C,B,B,B,B,B,A,B,C,C,B,B,B,B,B,C,B,C,B,B,B,A,C,C,C,C,B,B
17,C,B,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,B,B,C,A,A,A,A
18,C,C,C,A,A,C,C,C,A,D,B,A,C,A,B,B,B,C,B,B,B,B,C,A,C,B,B,C,C,B
19,A,A,A,A,A,A,A,B,B,B,B,A,B,A,C,C,A,A,B,A,A,A,D,B,D,D,A,A,A,A
20,B,C,C,B,C,C,B,B,B,D,B,C,C,C,A,B,B,C,C,B,B,B,B,C,C,D,C,B,A,A
21,B,B,B,A,C,B,C,C,B,B,A,B,C,B,B,B,B,B,A,B,B,B,C,B,C,B,C,B,B,B
22,C,B,C,B,B,C,A,B,A,A,C,A,A,A,A,A,A,A,A,A,A,D,C,C,C,C,A,A,A,A
23,D,B,C,C,B,C,C,B,B,C,A,B,A,B,C,A,B,B,B,C,C,B,B,A,C,C,B,C,B,B
24,C,C,C,D,D,C,B,C,A,C,B,B,B,C,B,B,B,B,A,A,B,B,C,B,B,C,B,A,C,B
25,B,C,B,B,B,B,C,B,C,C,A,B,C,B,B,B,B,B,A,C,B,C,B,B,B,B,B,B,D,C
26,A,B,C,B,B,B,B,B,C,B,C,A,C,C,B,B,A,B,C,B,B,B,B,B,A,B,B,B,A,C
27,C,A,B,C,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A
28,C,C,C,C,B,C,A,B,B,D,B,C,C,C,A,A,A,C,C,B,A,B,C,A,C,D,D,B,A,D
29,A,B,A,B,B,B,B,B,A,C,B,C,B,B,B,B,B,C,B,C,C,B,B,A,B,B,C,C,B,B
30,A,A,A,C,B,B,C,B,D,D,B,A,C,A,C,B,A,B,C,C,C,B,A,B,C,D,C,B,A,C
31,B,B,C,C,C,C,C,C,B,D,B,A,B,A,B,B,B,C,B,B,B,C,D,A,C,B,B,C,C,B
32,B,C,B,B,B,B,B,D,B,C,A,B,C,A,B,B,B,B,A,A,B,C,C,A,B,B,B,B,A,C
33,D,A,C,C,A,C,C,B,B,C,A,B,A,B,A,C,D,C,C,A,A,B,B,A,C,C,B,C,B,B
34,B,C,B,B,B,B,B,D,B,C,A,B,C,B,B,B,B,B,A,A,B,C,C,B,B,D,B,B,A,C
35,A,A,A,A,A,B,B,B,B,A,A,B,A,A,C,A,A,A,A,A,A,B,B,B,B,C,A,A,A,B
36,B,C,C,D,C,C,B,B,B,D,B,C,C,C,A,B,B,D,C,B,B,A,B,B,C,D,B,C,A,A
37,B,A,B,B,B,B,B,C,B,C,A,B,A,B,B,B,B,B,A,C,B,C,C,B,B,B,B,B,A,C
38,D,C,C,C,C,C,C,B,B,C,A,B,B,A,B,A,B,C,B,C,B,D,B,A,C,D,B,C,B,B
39,C,B,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,D,B,B,B,B,C,A,A,A,A
40,B,C,C,B,B,C,B,B,B,D,B,C,C,D,A,B,B,B,C,B,B,A,B,C,C,D,D,B,A,A
41,B,B,B,A,D,C,A,C,B,B,A,B,C,B,B,B,B,B,A,A,B,B,D,B,C,B,C,B,B,B
42,C,C,C,D,D,C,B,C,A,C,B,B,B,C,B,B,B,B,A,A,C,B,C,B,B,C,B,A,A,B
43,A,B,C,B,B,B,B,B,A,B,B,C,B,B,B,B,B,C,B,C,B,B,B,A,C,B,C,C,B,B
44,C,B,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,A,A,A,A
45,B,B,C,C,C,C,C,C,B,D,B,A,B,A,B,B,B,A,B,B,B,B,C,A,C,B,B,C,C,B
46,B,C,B,B,B,B,B,C,B,C,A,B,C,B,B,B,B,B,A,C,B,C,C,B,B,B,B,B,A,C
47,A,A,A,A,A,A,A,A,B,B,A,A,B,A,C,C,A,A,B,A,A,A,D,B,D,B,A,A,A,A
48,A,B,A,A,B,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,B,B,B,A,A
49,C,C,C,D,C,B,B,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,C,B,B,D,B,C,A,C
50,D,B,C,B,C,B,C,B,B,C,C,B,D,C,B,B,A,B,C,A,A,B,B,B,A,B,B,B,A,C
51,A,B,A,A,MULTI,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,B,B,B,A,A
52,C,C,C,D,C,B,B,C,B,A,B,B,B,B,B,B,B,B,A,A,C,B,C,B,B,D,B,C,A,C
53,A,D,C,B,B,B,B,B,A,B,B,C,B,B,B,B,B,C,B,C,B,B,B,A,C,A,C,C,B,B
54,A,A,A,A,A,A,B,B,B,B,A,A,B,A,A,C,C,A,A,B,A,A,A,B,B,A,A,A,C,A
55,D,C,B,C,MULTI,C,C,A,D,C,A,B,B,B,B,A,B,A,B,C,D,B,C,A,C,C,B,C,B,B
56,A,B,B,D,C,B,C,A,B,B,A,D,C,A,B,B,C,D,A,A,B,B,D,C,C,A,C,B,B,B
57,A,C,C,A,A,B,A,B,B,A,C,A,A,A,C,A,C,A,A,A,B,D,B,B,B,A,B,A,D,B
58,A,C,C,D,B,C,B,C,A,B,D,C,A,C,B,C,B,B,A,A,C,C,D,B,B,C,A,B,A,B
59,C,B,C,B,B,B,B,B,C,B,C,A,A,C,B,B,A,B,A,B,B,B,B,B,A,B,B,B,A,C
60,C,B,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,A,A,A,A
61,B,A,C,C,C,C,C,C,B,D,B,B,B,B,B,B,C,C,B,B,B,B,C,A,C,B,B,C,C,A
62,B,C,B,B,B,B,B,C,B,C,A,B,B,A,B,B,B,B,A,C,B,C,C,B,B,B,B,B,A,C
63,C,C,C,D,D,B,D,C,A,C,D,A,B,C,B,B,B,B,A,A,C,C,C,B,B,C,B,A,A,B
64,B,C,B,B,B,B,B,C,B,C,A,B,C,B,B,B,B,B,A,C,B,C,C,B,B,B,B,B,A,C
65,A,B,A,A,B,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,B,B,B,A,A
66,B,B,B,C,C,C,C,C,B,D,B,A,C,C,B,B,B,C,C,A,B,A,C,B,A,C,B,A,B,A
67,A,B,C,B,B,B,B,B,A,B,D,C,B,B,B,B,B,C,B,C,B,A,B,C,C,C,D,C,B,B
68,A,A,A,A,A,A,C,D,B,B,A,A,B,A,A,C,A,A,B,A,D,A,D,B,B,B,A,A,A,A
69,B,C,A,B,C,C,B,A,B,D,B,C,C,C,A,B,C,B,C,B,B,B,B,C,C,D,D,B,D,A
70,B,B,B,A,C,B,A,C,B,B,A,B,C,A,B,B,B,B,A,C,B,B,C,B,B,A,C,B,B,C
71,A,A,A,B,A,A,A,B,B,B,A,A,B,A,C,C,A,A,B,A,A,A,D,B,B,B,A,A,A,A
72,B,B,C,C,C,C,C,C,B,D,B,A,B,A,B,B,B,C,B,B,B,B,C,A,B,B,B,C,C,D
73,A,D,D,B,C,B,B,B,C,C,C,D,D,C,A,B,A,B,B,D,B,B,B,B,A,B,B,B,C,C
74,C,B,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,B,B,B,B,C,A,A,A,A
75,D,C,C,C,C,B,A,D,B,C,A,B,B,B,B,A,B,B,B,C,C,B,B,A,B,A,C,C,B,A
76,A,B,C,A,B,B,B,B,A,C,B,C,B,B,B,B,B,C,B,A,B,B,B,A,C,B,C,C,A,B
77,A,A,B,A,A,A,B,B,B,A,A,B,A,A,C,A,A,A,A,A,A,D,B,B,B,C,A,A,A,B
78,C,C,C,D,D,C,B,C,A,C,B,B,B,C,B,B,B,B,A,A,C,B,C,B,B,B,B,A,A,B
79,A,B,C,B,B,B,B,B,B,C,B,C,B,B,B,B,B,C,C,C,B,B,B,C,C,C,C,C,B,C
80,A,B,A,A,B,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,B,B,B,A,A
81,D,C,C,C,B,A,A,B,B,C,A,B,B,B,B,B,B,B,B,C,D,B,B,A,C,C,B,C,B,B
82,B,C,B,B,B,B,B,C,A,C,A,B,C,B,B,B,B,B,A,A,B,C,C,B,B,B,B,B,A,C
83,C,C,C,D,D,C,B,C,A,C,B,B,MULTI,C,B,B,B,B,A,A,C,C,C,B,B,C,B,A,A,B
84,B,B,B,A,C,B,C,C,B,B,A,B,C,B,B,B,B,B,A,C,B,B,C,B,C,B,C,B,B,B
85,D,C,C,C,B,C,C,B,B,C,A,B,B,B,B,A,B,B,C,C,C,B,B,A,C,C,B,C,B,B
86,B,B,B,A,C,B,C,C,B,B,A,B,C,B,B,B,B,B,A,B,B,B,C,B,C,B,C,B,B,B
87,A,A,A,A,A,A,A,B,B,B,A,A,B,A,C,C,A,A,B,A,A,A,B,B,B,B,A,A,A,A
88,B,B,A,C,C,C,C,C,B,D,B,A,B,A,C,B,D,C,B,B,B,B,C,A,C,B,B,C,C,B
89,B,B,B,A,C,A,C,B,B,B,A,B,C,C,B,B,B,B,A,C,A,B,C,B,C,B,C,B,B,B
90,B,C,C,B,C,C,B,B,B,D,B,C,C,C,A,B,B,C,C,D,B,B,B,C,C,D,D,B,A,A
91,B,B,C,B,B,B,B,B,C,B,C,B,C,C,B,B,A,B,C,B,B,B,B,B,A,B,B,B,A,C
92,C,C,B,C,C,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,B,A,A,A,A,A,A
93,B,B,C,C,C,C,C,C,B,D,B,A,B,A,C,B,D,C,B,B,B,B,C,A,C,B,B,C,C,B
94,C,C,C,A,C,A,C,C,B,B,A,B,C,B,B,B,B,B,A,C,B,B,C,B,C,B,C,B,B,B
95,A,A,A,A,A,A,A,C,B,C,C,A,B,A,A,C,A,A,B,A,A,A,D,B,B,A,A,A,A,A
96,B,C,C,C,C,MULTI,B,B,A,D,C,C,C,C,A,MULTI,B,C,C,B,B,B,B,B,C,D,C,B,A,A
97,B,C,B,B,B,B,B,C,B,C,A,B,B,B,B,B,B,B,A,C,B,C,C,B,B,B,B,B,A,C
98,A,B,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,B,B,MULTI,B,C,A,A,A,A
99,C,C,C,D,D,C,B,C,A,D,B,B,B,C,B,B,B,B,C,A,C,B,C,B,B,C,B,A,A,B
